标题,时间,来源,正文,作者,评论数
甘肃新增1例境外输入确诊病例，来自莫斯科,2020-06-28,北京日报客户端,原标题：甘肃新增1例境外输入确诊病例，来自莫斯科 据甘肃省卫健委昨晚通报： 6月27日莫斯科-兰州CA910次航班280名入境人员中，6月27日有1例确诊病例，已转运至省级定点医疗机构隔离治疗。其余279人在集中隔离点隔离观察。 此外，6月15日沙特利雅得-兰州MU7792次航班253名入境人员中，无新增确诊病例。目前，该航班累计确诊病例19人，已陆续有3人治愈出院并转入集中隔离点继续医学观察。现在省级定点医院住院隔离治疗16人，在省级定点医院隔离留观密切接触者1人，在集中隔离点隔离观察236人。 6月23日沙特吉达-兰州MU7790次航班254名入境人员中，无新增确诊病例。目前，该航班累计确诊病例4人，均在省级定点医院住院隔离治疗。在省级定点医院隔离留观1人，在集中隔离点隔离观察249人。 上述所有入境人员均在闭环管理中。 截至6月27日20时，甘肃累计报告境外输入新冠肺炎确诊病例71例，累计治愈出院50例。目前在省级定点医院隔离治疗21人；在省级定点医院隔离留观2人；在集中隔离点隔离观察764人。 境外输入确诊病例信息： 病例24，男，24岁。入境核酸检测阳性，咽部不适伴乏力1天，胸部CT未见明显异常。经省级专家组会诊后诊断为新冠肺炎确诊病例，轻型。现在省级定点医院隔离治疗。 来源：甘肃省卫健委,杨杰 ,0
澳大利亚媒体反思对华关系毁于什么 答案意外,2020-06-28,环球网,原标题：澳大利亚媒体反思对华关系毁于什么，答案意外。 澳媒：对华关系毁于我们的无知 澳大利亚《新日报》6月26日文章，原题：澳中关系毁于我们的无知 一项新研究认为，澳大利亚注定要继续与中国针锋相对，因为我们的政治阶层不了解我们最大的贸易伙伴。 近几个月来，澳中关系变得越发摇摆不定。澳大利亚研究院的新研究认为，造成两国关系紧张的主要原因是我们的无知。在澳大利亚，只有20个学者和智库拥有中国方面的专业知识，而且也没有培训政策制定者的相关专业学校。 澳大利亚研究院国际与安全事务项目主任艾伦·贝姆说，尽管没人知道澳联邦政府有多少人受雇提供有关中国方面的建议，但我们的“愚蠢”做法暴露出我们对中国了解的贫乏。贝姆先生说：“如果你有大约20个了解中国的人，那根本就算不上什么。”“我们的政治人物不明白他们在与什么打交道。他们也没有足够的事实知识，（根本）不了解中国的历史和文化。”他表示，我们需要看看日韩和新加坡，他们与中国的关系有时也会紧张。但不同的是，他们“腾挪躲闪”以获取自己想要的东西。 澳4月份呼吁对新冠疫情暴发进行独立国际调查，从而引发澳中关系紧张。从那时起，两国关系一直不见改善。据报道，澳高级官员和部长呼吁中方讨论不断升级的争执，但北京始终不予理会。贝姆说，这表明我们不必要地挑起争执，“我们对新冠疫情的处理极其糟糕。” 他说：“我们不但没有说一些像‘我们很乐意支持中国调查病毒是如何传播的，如果中国想要这样做，我们将百分之百合作’（之类的话）。相反，我们却跟在美国后面批评他们。”“这得有多蠢才会这样做？就像一群小学生代表跑来跑去在玩游戏一样。”“不是什么事情都要通过打架（解决）的。我们自己要有所选择，就像新加坡那样。” 如果澳大利亚想在未来避免此类针锋相对的事，就需要和其他有类似问题的亚洲国家发展联盟。此外，澳还应发挥软实力，比如投资于中国的教育。不要鹦鹉学舌地照搬美国的（对华）外交政策。 贝姆说，中国是个无法被忽视的国家，我们必须与之打交道。而我们现在与他们打交道的方式就是拍胸脯虚张声势，“你是通过激烈对抗和指责来打交道，还是思考那是个怎样的国家，存在什么问题，想向哪里发展……在这一切中，你又如何实现自己的利益？这些都需要知识和技能支持，还有老练的外交手段。”▲（作者凯特·凯利，乔恒译） ,张迪 ,635
印度陆军司令向莫迪汇报！,2020-06-28,环球网,原标题：印度陆军司令向莫迪汇报！ 印媒称，印度陆军司令纳拉万日前再次前往位于列城的第14集团军总部进行视察。 在中印边防部队在加勒万河谷地区发生激烈冲突后，印度正密切关注中国军队的情况以做应对。与此同时，印度政府开始试图减少对中国产品的依赖。 印度TimesNow新闻和ABP新闻等媒体报道称，印度陆军司令纳拉万日前再次前往位于列城的第14集团军总部进行视察。行前，他在德里主持召开陆军高层军官会议，讨论了边境地区安全形势。据《印度时报》报道，纳拉万从列城返回后，第一时间向印度总理莫迪汇报了相关情况。纳拉万还向国防部长辛格简要介绍了边境局势，强调印军已经在实控线地区做好充分准备，正为长期对峙制定坚守措施。 据了解，中印边境事务磋商与协调工作机制会议仍在举行。不过，《印度时报》27日的报道说，最近举行的几轮军事层级对话未能打破僵局，印度也拒绝了中国对加勒万河谷的主权声索要求，并表示“不会接受任何单方面改变实控线现状的企图”。印度驻华大使唐勇胜表示，解决当前对峙僵局的唯一方法是中国在实控线地区停止新的建设。 与此同时，在印度民间抵制“中国货”的呼声高涨后，印度政府也试图减少对中国产品的依赖。据TimesNow电视台26日报道，印度工业和内贸促进局正拟定一份清单，详细列出从中国进口的“低质产品”，以替换为从其他国家进口或由本土企业生产的商品。一旦清单准备就绪，印度将与相关国家接触，并改善其商品进入印度市场的途径。 此外，印度反对党仍在不遗余力地指责莫迪政府在应对中印边境冲突的问题上进退失当，并与执政的印度人民党陷入相互攻击的“口水战”。据《印度时报》27日报道，印度人民党主席纳达强调，“印度军队完全有能力在莫迪的领导下保证国家安全”。 ,张迪 ,149
31省区市新增确诊17例 其中本土病例14例均在北京,2020-06-28,国家卫健委网站,原标题：截至6月27日24时新型冠状病毒肺炎疫情最新情况 6月27日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例17例，其中境外输入病例3例（上海1例，陕西1例，甘肃1例），本土病例14例（均在北京）；无新增死亡病例；新增疑似病例1例，为本土病例（在北京）。 当日新增治愈出院病例7例，解除医学观察的密切接触者692人，重症病例与前一日持平。 境外输入现有确诊病例86例（其中重症病例1例），现有疑似病例1例。累计确诊病例1902例，累计治愈出院病例1816例，无死亡病例。 截至6月27日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例415例（其中重症病例8例），累计治愈出院病例78451例，累计死亡病例4634例，累计报告确诊病例83500例，现有疑似病例8例。累计追踪到密切接触者761721人，尚在医学观察的密切接触者7445人。 31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者7例（境外输入4例）；当日转为确诊病例2例（无境外输入）；当日解除医学观察5例（境外输入2例）；尚在医学观察无症状感染者106例（境外输入66例）。 累计收到港澳台地区通报确诊病例1690例。其中，香港特别行政区1197例（出院1095例，死亡7例），澳门特别行政区46例（出院45例），台湾地区447例（出院435例，死亡7例）。,张迪 ,236
北京商超战“疫”保供背后的供应链大考和比拼,2020-06-28,新京报网,原标题：北京商超战“疫”保供背后的供应链大考和比拼 北京新冠肺炎疫情牵动人心。随着新发地市场6月13日凌晨3时按下“暂停键”，围绕蔬果、肉类、水产等民生物资保供战在北京各大连锁商超持续进行。 “当时我们的精神马上就紧绷起来了，最直接的感觉就是怕货源紧张，联系各个产区调货，手机都快打爆了，差不多48小时没合眼。”提起6月12日当天连夜调货的场景，家乐福华北区采购负责人史国清紧张又兴奋。 与此同时，永辉则在北京大兴区彩食鲜工厂搭建起一个临时配送中心。永辉超市二战区营运蔬菜合伙人尚俊杰在这里待了整整一周，为的是保障货品的正常接收和配送。 民生物资保供保价中，采购是最重要的一环，考验的是各大商超的供应链能力。永辉、家乐福、超市发等各大连锁商超开启“拼命”模式，紧急应对不慌张，铆足了劲儿保障货架充足，迅速实现补位。 靠着一部手机四处调货“抢”菜 “因为经历过春节期间的那波疫情，我们得提前做好准备，应对可能会出现的货源紧张。”6月12日，当家乐福华北区采购负责人史国清听到有确诊病例近期曾到过新发地牛羊肉交易大厅的消息后，她的神经紧绷了起来。 意识到北京周边基地可能要货源紧张，他们就需要一个基地一个基地去协调提前订购。“像土豆，我们立马打电话从玉田订了16亩的土豆，正常七八个小时才能干完的活，快马加鞭压缩到4个小时，保证能按时到达配送中心。” 事实证明，提前从基地调货是一个颇为明智的做法。6月12日下午，新发地牛羊肉大厅、京深海鲜市场关闭；6月13日凌晨3时起，新发地市场宣布暂时休市，这也意味着以新发地为主要货源地的一些菜市场、社区超市等将面临采购困难，可能出现断货甚至没货的情况。 距新发地50公里外的多个蔬菜产区，是家乐福蔬菜直采的主要来源。史国清和另外两个采购提前下手抢占货源，不仅是北京周边，还包括从河南、河北、海南等地，加紧调货，以保障门店供应。 与春节期间的采购工作不同，这一次，史国清觉得更难了。“新发地休市，北京蔬菜供应会很紧张。我们团队3个人就凭各自一部手机，不停地给全国各个产区打电话调运，充电宝不离手，48小时基本没合眼”。 新京报记者了解到，自6月12日起，家乐福加大北京周边基地直采，北京门店日供新鲜蔬菜百余吨，是平时供应量的2-3倍。以6月13日为例，当天产地直采蔬菜到货大约100吨。 避开高风险区搭建临时新配送中心 在家乐福采购忙着调货的时候，永辉超市二战区营运蔬菜合伙人尚俊杰也接到了通知。由于永辉原有的物流配送中心距新发地距离不远，而新发地处于高风险区域，为避免物流车接近该区域会受到影响，6月12日，公司决定到大兴的彩食鲜工厂搭建一个临时物流中心。 平时负责门店营运的尚俊杰此时干起了临时工，和彩食鲜的工作人员一起搭棚子、装大灯，忙活一下午，临时物流中心建成了。“我们采购第一时间给邻近河南的采购团队打电话寻求帮助，调拨所有资源到北京，满足北京市场的供应。”于是，200多辆物流车一辆接一辆给北京市场送货。 由于公司原本的采购和司机都在进行核酸检测，无法赶到配送中心协调，只好临时从各个门店抽调20个人到配送点帮忙。这些并不懂采购的人既要指挥车辆还要分拣，从当天下午5时到第二天中午一共分拣了800多吨，许多员工累得干不动了，饭也顾不上吃。 随着门店订单量暴增，为了保证不缺货，永辉超市将原本两三百吨的蔬菜日供应量增至2000多吨。“连续作战48小时之后，采购、司机全部到位，第三天基本恢复正常。” 尚俊杰告诉新京报记者，北京市场原有的供应链也很快步入正轨，随后几天，采购们主要在物流中心检测农产品，包含货品来源、农药残留等项目，“我们就在物流中心住了一周。” 永辉超市北京市场负责人黄晓晨介绍，为保证市场供应，6月15日，从全国紧急调配3000吨果蔬进京，这个供应量是平时的6倍，此后的消费渐趋平稳，保持每天蔬菜到货400余吨，供应充足。 值得注意的是，为满足线上订单需求，负责线上供货的彩食鲜工厂也临时增派了近50名工作人员负责分拣包装，增派人数占到平日员工的三分之二。在物流环节，原本彩食鲜每天一次配送至门店，疫情期间则调整为两次，且24小时全时段可接受配送。 产地直采凸显货源保障优势 此轮疫情，对零售企业而言，是一场供应链的大考，能迅速调动资源保障供应意味着占领市场。 有不愿具名的线上生鲜从业者告诉新京报记者，北京疫情期间线上订单量明显提升，但自己所在的线上平台，因为部分货源是新发地，出现了货源短缺情况。而像家乐福、永辉、超市发、盒马、沃尔玛、物美等连锁商超，则可以发挥基地直采、各区域采购协同作战的优势，货源稳定，能有效保障居民生活供应。 新京报记者了解到，北京超市发、家乐福、永辉、物美等销售的海鲜、肉制品均由长期合作的品牌商家及供应商提供，比如超市发、家乐福的牛肉都来自月盛斋、猪肉来自肉联厂，无外部零售市场零散货源，商品经由供应商统一送至公司配送中心。 在生鲜蔬果的直采方面，家乐福华北区采购负责人史国清说，公司长期开展扶贫助农、助销农产品，与河北、山西、河南等周边的基地建立了合作关系，货源相对充足，每个品类会有两三个甚至三四个货源地，这在一定程度上避免因某个货源不足带来的供应不稳定问题，也能在一定程度上保证价格稳定。 永辉超市在全国各大产区的供应链优势也凸显出来。据尚俊杰介绍，此次北京疫情采购也有压力，但远没有春节期间的采购压力大，因为“永辉把全国的资源调到北京是轻而易举，不仅量不缺，价格也没涨”。 沃尔玛山姆会员店也是如此。沃尔玛方面称，沃尔玛山姆会员店蔬菜采用直采模式，全国有近30个加工厂，即使北京地区会员的蔬菜购买需求突然增加，山姆也可从其他城市的加工厂空运和陆运蔬菜，保证供应。 永辉超市相关负责人告诉新京报记者，供应链、源头直采、产地直发是核心优势，蔬菜水果均为直采，检疫检测合格。北京此轮疫情发生后，公司24小时内紧急召开全国供应链保供会议，平台、各战区联动，与产地紧急加倍调配蔬果货源，加大外围供给及周边省份驰援。 盒马则调动了阿里巴巴集团自家的“菜园子”。6月17日，盒马北京门店开了内部紧急会，调动“菜园子”阿里巴巴上百家数字农业基地，协同上千家果蔬供应商，将进货量提升日常5倍以上，从上海、山东、河北等装运食材，冷链直通车驰援北京，确保线上线下安全、新鲜、丰富的果蔬供应充足。 蔬菜“锁价”商超有底气 直采也有助于企业保证商品价格稳定。北京市连锁经营协会倡议连锁企业携手“保安全、保供应、保质量、稳物价”后，截至6月16日，北京已有27家主要超市、便利店响应倡议，稳定蔬菜等生活必需品价格。其中，沃尔玛、永辉、超市发、家乐福等陆续锁定了日常10种蔬菜的价格，保证1个月不变价。 可以说，新发地批发市场暂时休市后，商超产地直供、社区蔬菜直通车等多个渠道的供应，迅速补充了市场供应。 来自北京市商务局二级巡视员王洪存6月24日北京市疫情防控发布会上的介绍，北京市蔬菜供应形势继续向好，7家重点批发市场上市量不断增加，连续3日稳定在1.3万吨以上；8家大型连锁超市继续加快调货，蔬菜库存和供应十分充足。王洪存表示将继续加强市场监测，及时掌握供应、价格信息，确保出现缺断货及时补货，保障市场供应和价格平稳；加大货源组织，继续发挥周边多省保供机制作用。 新京报记者 张晓荣,朱学森 ,43
6月27日山东省报告美国输入无症状感染者1例,2020-06-28,政府网站,原标题：2020年6月27日0时至24时山东省新型冠状病毒肺炎疫情情况 来源：健康山东 2020年6月27日0时至24时： 山东无本地住院疑似病例、确诊病例。累计报告确诊病例763例，死亡7例，治愈出院756例。 山东无新增境外输入疑似病例、确诊病例。累计报告境外输入确诊病例29例，治愈出院29例。 青岛市报告美国输入无症状感染者1例。正在隔离观察治疗的无症状感染者2例（境外输入）。 目前共追踪到密切接触者22165人，尚有8人正在接受医学观察。 详见下表（单位：例）：,张迪 ,5
北斗“收官之星”发射推迟7天 那些天里发生了什么？,2020-06-28,央视,原标题：揭秘！北斗“收官之星”发射推迟七天，那些天里到底发生了什么？ 6月23日9时43分，我国在西昌卫星发射中心用长征三号乙运载火箭，成功发射北斗系统第五十五颗导航卫星。至此，北斗三号全球卫星导航系统星座部署全面完成。 北斗“收官之星”圆满发射，其背后的过程却是一波三折。此次发射任务原定于6月16日上午执行，却在发射前一晚按下了“暂停键”，背后原因是什么？推迟发射的7天里，航天人都做了什么？中国卫星导航系统管理办公室主任、北斗卫星导航系统工程副总设计师冉承其做客《面对面》，讲述了收官之战的幕后故事。 减压阀现鸡爪形裂纹 发射前一晚果断按下“暂停键” 6月15日傍晚，长征三号乙运载火箭已按流程完成常规推进剂加注，开始进行射前功能检查。20时左右，工作人员在控制氧流量的稳压器里发现了一个减压阀的故障。 经过讨论，专家们的意见很快得以集中：如果排除测试设备问题，那么阀门产品是否存在问题需要尽快排查。发射塔架上，操作人员按流程进入火箭舱体中对减压阀进行检查，壳体上一个三四公分大小的鸡爪形细小裂纹映入眼帘。 发射场的人员迅速将问题反馈到北京，对同批次产品从设计到生产、检验进行全过程核查。同时，紧急更换备份产品，并检查工作状况是否满足要求。临近6月15日24时，新更换的同批次产品经检测工作状态正常，具备实施任务条件，但任务指挥部没有很快作出重启发射的决定。6月16日凌晨1时，北京方面对产品抽检件的材料分析结果传来，问题得到复现。 冉承其称，这是材料的一种现象，但大家认为还有不是特别清楚的地方。最终，前线任务指挥部决定推迟本次任务发射，做到“不带疑点加注，不带隐患上天”。 争分夺秒 不到两天完成“归零” 6月16日，问题产品被迅速送回北京，接受材料检测。当晚，经过前后方结果比对，证明了问题发生的机理。已经加注常规推进剂的火箭矗立在塔架上，必须迅速拿出符合要求的替换产品，协调工作随即展开。与此同时，围绕问题的研究和归零工作也在紧张推进。 冉承其称，这个“零”就是让这个产品的质量技术状态跟正常产品一样，不带任何隐患回到“归零”状态，我们经常讲“千万不能归而不零，可以归但不能不到零位，一定要回到最好的状态”。6月16日推迟发射后，技术人员争分夺秒，几乎都没有休息的时间，6月18日完成了这个产品的彻底归零。 前所未有！ 四分之三推进剂被重新加注 6月18日晚，工作人员加班加点，将从北京运来的替换产品安装上箭，经测试，指标符合任务要求。但由于夏季气温较高，已经加注常规推进剂的火箭贮箱内的燃料温度和气枕容积出现变化，已不满足发射实施条件。 推进剂不泄出显然不行，但泄出后再重新加注，过程中会不会出现新的问题？经过决策，航天人做出了一个艰难的决定：火箭将进行史上前所未有的最大规模推进剂泄出及重新加注。 冉承其介绍说，相对于加注，泄出是一个逆操作。此外，推进剂特别是其氧化剂具有腐蚀性，时间长了对管路和部件都会带来一定影响，并且要求保证推进剂泄回的过程中不能有任何闪失，还有一定的安全风险。技术人员分析出此项操作可能涉及的21项风险，并分别制定了应对策略。 6月19日至20日，火箭一级、二级及四个助推加注口以上的氧化剂、燃烧剂分别安全完成泄出操作。粗略计算，泄出量约占加注燃料总量的四分之三，规模之大世所罕见。 法兰盘螺栓出现轻微腐蚀现象 工作人员紧急更换 然而，一波未平，一波又起。工作人员在对泄出后的助推器氧箱进行检查时，发现连接传感器的法兰盘螺栓出现轻微腐蚀现象，需要尽快更换。这项操作只能在狭窄的箭体内进行，操作人员要身着防化服从仪器舱舱口钻进火箭内部，以俯卧的姿势，在一个小时以内精准完成拆除和新产品安装工作。 冉承其称，氧化剂有腐蚀性，燃烧剂对人体有些毒副作用。“我们操作人员就是要胆大心细，还需要有一种舍我其谁的奉献精神。”最终，工作人员完成了4个助推器氧箱24个螺栓的紧急更换任务，所有人开始为6月23日的重启发射做着各项准备工作。 化解“取经”路上的“最后一难” 排除万难后，6月23日9时43分，长征三号乙运载火箭点火发射，北斗收官之星奔向苍穹。回顾这段历程，冉承其说同事们笑称此举堪比“唐僧西天取经”，“九九八十一难，我们终于把最后一难给化掉了。”,张迪 ,296
6月28日内蒙古自治区报告无新增确诊病例、疑似病例,2020-06-28,环球网,原标题：6月28日内蒙古自治区报告无新增确诊病例、疑似病例 截至6月28日7时内蒙古自治区新冠肺炎疫情最新情况 权威发布 2020年6月27日7时至6月28日7时，内蒙古自治区报告无新增确诊病例、疑似病例。 截至2020年6月28日7时，内蒙古自治区累计报告境外输入确诊病例161例（俄罗斯108例、英国23例、法国19例、美国4例、西班牙2例、瑞典2例、奥地利1例、捷克1例、葡萄牙1例），治愈出院160例。现有境外输入确诊病例1例。 截至2020年6月27日24时，内蒙古自治区报告无症状感染者0例。 以上患者均在定点医院隔离治疗，所有密切接触者均在指定场所进行集中隔离医学观察，全程实行闭环管理，严防疫情扩散蔓延。 自治区党委、政府高度重视本土和输入性疫情防控工作以及无症状感染者的相关情况，严格按照国家疫情防控要求，认真落实各项防控措施。,杨杰 ,0
297例！北京确诊病例最新情况汇总，一图了解,2020-06-28,央视,原标题：297例！北京确诊病例最新情况汇总，一图了解→ 6月11日至6月26日 北京累计确诊病例297例 这些病例分布在哪里？ 北京目前有哪些中高风险地区？ 一图读懂↓↓↓,杨杰 ,1
转扩！北京16天新增297例都去过哪？,2020-06-28,人民日报,原标题：转扩！北京16天新增297例都去过哪？ 6月11日以来，北京市累计新增297例本土确诊病例。他们都是谁？去过哪？防控不松懈，重视不恐慌！戳图了解,杨杰 ,858
网曝疑似厦大学生不当言论 厦门大学:该生否认并报警,2020-06-28,澎湃新闻,原标题：网友反映疑似厦大学生发不当言论，厦门大学：该生否认并报警 6月28日，厦门大学官方微博发布声明称，6月27日晚有网友反映，疑似厦门大学学生杨某在国外社交平台发表不当言论。厦门大学对此高度重视，第一时间成立调查小组。调查中，杨某表示该推文不是其所发，并已报警。厦门大学将继续深入调查，如确有学生发表不当言论，将依纪依规严肃处理，绝不姑息。 来源：厦门大学官方微博,朱学森 ,2013
暴雨黄色预警：7省市有大到暴雨 安徽江苏局地大暴雨,2020-06-28,中国新闻网,原标题：暴雨黄色预警：7省市有大到暴雨 安徽江苏局地大暴雨 中新网6月28日电 据中央气象台网站消息，中央气象台6月28日6时继续发布暴雨黄色预警。 预计，6月28日08时至29日08时，贵州东北部、湖南北部、湖北东部、河南东南部、安徽大部、江苏大部、上海等地有大到暴雨，其中，安徽东部、江苏中南部等地的部分地区有大暴雨（100~200毫米）。上述部分地区伴有短时强降水（最大小时降雨量30~50毫米，局地可超过70毫米），局地有雷暴大风等强对流天气。,杨杰 ,0
暴雨黄色预警：安徽、江苏等地部分地区有大暴雨,2020-06-28,界面新闻,原标题：暴雨黄色预警：安徽、江苏等地部分地区有大暴雨 中央气象台6月28日06时继续发布暴雨黄色预警：预计，6月28日08时至29日08时，贵州东北部、湖南北部、湖北东部、河南东南部、安徽大部、江苏大部、上海等地有大到暴雨，其中，安徽东部、江苏中南部等地的部分地区有大暴雨（100~200毫米）。上述部分地区伴有短时强降水（最大小时降雨量30~50毫米，局地可超过70毫米），局地有雷暴大风等强对流天气。,朱学森 ,0
